index,original,copywriting
01,アンタなんて豆腐の角に頭ぶつけて死んじゃえばいいのよ！,你这家伙，找块豆腐一头撞死算了！
02,いい加減、目覚まし時計で起きなさいよね！何でいつも私が起こさなきゃいけないのよ！！,你还是老老实实定个闹钟起床啊！干吗每次都非要我来叫醒你嘛。
03,うるさい、うるさい、うるさい！,吵死了吵死了吵死了！真是吵死了！
04,選んだのは私でアンタじゃないんだからね,是我选的你，你可别以为是你给了我机会哦！
05,おはよーじゃなくて、おはようございますでしょっ,什么“早安”，应该说“您早上好”才对！
06,勘違いしないでよね,你可别胡思乱想
07,別にあんたのためにやったわけじゃないんだから,我才不是特地为你做的。
08,キスなんて100年早いわよ！！,接、接吻什么的，你还早了100年呢！
09,くっ…胸のことを…,哭…我的胸部…
10,怪我でもされたら、私が困るじゃない,要是你受伤的话，岂不是会让我很头疼。
11,このぉバカ！,你这个笨蛋！
12,さよならなんて言ってあげないんだから！,再见之类的话，我才懒得对你说…
13,心配なんてしてないんだからね！,我才没有为你担心！
14,好きでこんな格好してるわけじゃないんだからね…あんたの前だけよ…,我、我可不是因为自己喜欢才打扮成这样…只有在你面前罢了…
15,もう…バカ…,真是的…笨蛋…
16,全力で来なさいよ？叩き潰してあげるから,尽管放马过来吧！让我打你个落花流水！
17,そばにいなさい！一生よ！いいわね！,留在我身边！一辈子！没异议吧！
18,誕生日プレゼントなんて誰にももらえないだろうから,生日礼物这种东西，我想没有其他人会送给你了吧…
19,はい,hi~
20,これプレゼント…,这个送给你……
21,ちょっと待ちなさいよ！この鈍感男！,给我等一下！你这个木头人！
22,なんで…,为什么…
23,なんで気付かないのよぉ！,为什么你就是注意不到嘛！
24,ついでだから、あんたも誘ってあげるわ,正好顺便，我也邀请一下你吧。
25,電話なんかしてこなくても…寂しくなんてないんだから…,就算你不打电话给我，我也没什么寂寞的…
26,隣に来ないでよ、恥ずかしいじゃない,别离我这么近…丢死人了…
27,な、なによあいつ！,那、那家伙干什么嘛！
28,私というものがありながら！うぅぅ,明明已经有我了的说！呜呜…
29,逃げないで、話くらいちゃんと聞きなさいよね,别逃，至少听我把话说完！
30,もうっ、知らない、バカ！！何言わせんのよ！！,真是的，不管啦笨蛋！！你让人家怎么说嘛！！
31,寝起きになにしてんのよ！,你睡糊涂了吧，干什么呐！
32,NOとは言わせないわよ！,你可不许对我说“No”哦
33,恥ずかしいけど、手、手くらい繋いであげてもいいわよ、ホラ！！,虽然很丢人，让、让、让你牵牵手还是可以容忍…来吧…
34,ひ…ひざまくらぁ！……い、一分だけだからねっ,睡、睡…睡在我的腿上！？只、只能睡1分钟哦！
35,ふ、二人しかいないんなら…,唔，今天只有我们两个人的话…
36,今日は仕方ないわね…,真是拿你没办法呢…
37,変態、変態、変態、変態、変態バカ大変態！！！,变态、变态、变态、变态、变态笨蛋大变态！！！
38,もう知らない…,真是的，不管了啦…
39,ボケーっとしてるんじゃないわよ！！,别在那装傻了啦！！真是的
40,蹴り飛ばすわよ！,小心我一脚踢飞你！
41,まっ…まぁ、アナタがどうしてもって言うのなら,啊…也好，既然你坚持要带着…
42,仕方ないけど…,我也没办法了呢…
43,見せたいわけじゃないんだから！,所以说我不想给别人看到啊！
44,あんただから…,只想给你一个人…
45,無視しないでよ！謝るから！,不准无视我！快给我道歉！
46,目から汗が出てるだけなんだから！,所以说只是从眼睛里流出来的汗啦！
47,涙じゃないわよぉーーー！,才~不~是眼泪呢！
48,もぉ～バカバカバカ！！,真是的~笨蛋、笨蛋、笨蛋！！
49,知らない知らない知らない,不知道、不知道、不知道！
50,妬いてるわけじゃないわよ、違うって言ってるじゃない！,才没有吃醋呢，你在说什么傻话啊！
51,優柔不断な奴はキライだからね！,所以说我最讨厌优柔寡断的家伙了！
52,よくないわよ。,才不好呢。
55,あたしのこと好きでも嫌いでもないなんて言うのは,对你说我喜欢你还是不讨厌你什么的
56,ラーメン伸びるわよ、はやく食べなさいよ！,拉面都泡糟了啦！快点吃掉啦！
57,えっふぅふぅしてくれ？ばかぁー,诶，让我帮你吹吹？笨蛋啊你~
58,利用するに値しないわね。アンタなんか…,我才没有觉得你很有用呢…
59,全然嬉しくないんだからっ,我才没有很开心呢！
60,連絡くらいよこしなさいよ！心配したんだから…,要多多的和我联系！不然我会担心你的…
61,ろくなことがないわね…あんたと一緒にいられるのは私くらいなんだから…,所以说别做些不正经的事了…对好不容易才和你在一起的我…
62,わ、私だけを見ていればいいのよ！,只、只准你看着我哦！
